Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Middle,00:00:00,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Passenger,Change Lane Right,Middle ,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Stoplight,Stop,Left,00:00:00,13
Stoplight,Go,Left,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Middle,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Right,Middle,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Stoplight,Stop,Right,00:00:00,13
Passenger,Unload,Right,00:00:00,13
Stoplight,Go,Middle,00:00:00,13
Vehicle,Change Lane Right,Middle,00:00:00,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Unload,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Right,Middle,00:00:00,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Unload,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Passenger,Go,,18:00:55,15
Vehicle,Change Lane Left,Middle,18:01:39,15
Vehicle,Stop,Middle,18:03:06,15
Vehicle,Go,Middle,18:03:14,15
Vehicle,Change Lane Left,Left,18:03:14,15
Vehicle,Change Lane Right,Right,18:05:18,15
Vehicle,Change Lane Left,Middle,18:05:35,15
Vehicle,Change Lane Left,Middle,18:06:40,15
Vehicle,Change Lane Left,Middle,18:06:51,15
Vehicle,Change Lane Right,Middle,00:00:00,15
Vehicle,Change Lane Right,Middle,00:00:00,15
Vehicle,Change Lane Right,Right,00:00:00,15
Vehicle,Change Lane Left,Middle,00:00:00,15
Vehicle,Change Lane Right,Right,00:00:00,15
Stoplight,Stop,Right,00:00:00,15
Stoplight,Go,Right,00:00:00,15
Vehicle,Change Lane Left,Middle,00:00:00,15
Vehicle,Change Lane Right,Middle,00:00:00,15
