Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Passenger,Stop,Right,15:19:15,8
Passenger,Unload,Right,00:00:00,8
Passenger,Go,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,15:19:35,8
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Stoplight,Stop,Middle,00:00:00,11
Stoplight,Go,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Stoplight,Stop,Middle,00:00:00,11
Stoplight,Go,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Right,00:00:00,11
Vehicle,Change Lane Left,Middle,00:00:00,11
Stoplight,Stop,Middle,00:00:00,11
Stoplight,Go,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Stoplight,Stop,Left,00:00:00,11
Stoplight,Go,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Right,00:00:00,11
Stoplight,Stop,Left,00:00:00,11
Stoplight,Go,Left,00:00:00,11
Vehicle,Change Lane Left,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,00:00:00,11
Passenger,Unload,Right,22:29:54,11
Passenger,Go,Right,22:30:01,11
Vehicle,Change Lane Left,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Right,00:00:00,11
Stoplight,Stop,Right,00:00:00,11
Stoplight,Go,Right,00:00:00,11
Vehicle,Change Lane Left,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Stoplight,Stop,Left,00:00:00,11
Stoplight,Go,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,00:00:00,11
Passenger,Unload,Right,00:00:00,11
Passenger,Go,Right,22:39:25,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,00:00:00,11
Passenger,Unload,Right,00:00:00,11
Passenger,Go,Right,00:00:00,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,22:43:01,11
Passenger,Unload,Right,00:00:00,11
Passenger,Go,Right,22:43:25,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Middle,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Right,00:00:00,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,00:00:00,11
Passenger,Unload,Right,00:00:00,11
Passenger,Go,Right,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,22:51:56,11
Passenger,Unload,Right,00:00:00,11
Passenger,Go,Right,22:52:12,11
Vehicle,Change Lane Left,Left,00:00:00,11
Vehicle,Change Lane Right,Right,00:00:00,11
Vehicle,Change Lane Left,Left,00:00:00,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,00:00:00,11
Passenger,Unload,Right,22:55:45,11
Passenger,Go,Right,22:55:56,11
Vehicle,Change Lane Left,Left,00:00:00,11
Passenger,Change Lane Right,Right,00:00:00,11
Passenger,Stop,Right,22:56:42,11
Passenger,Unload,Right,00:00:00,11
Passenger,Go,Right,22:57:10,11
Passenger,Load,Left,04:36:06,12
Passenger,Go,Left,04:37:02,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Middle,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Middle,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
